city,d,kappa,generator,K,D,Kprime,L1,h1,Bmax,Btheory
Amsterdam,46335125,1,ipsp_rho125,3,1,3,165.61004230188513,22,210.10926799481354,327.5156910966955
Amsterdam,46335125,1,ipsp_rho125,5,1,5,165.61004230188513,22,238.6172378971284,619.1651423385867
Amsterdam,46335125,1,ipsp_rho125,15,1,15,165.61004230188513,22,379.9078471705911,10768.645604500423
Amsterdam,46351114,2,ipsp_rho4,3,2,3,129.6189526279475,18,328.0891353488273,2649.90324204716
Amsterdam,46351114,2,ipsp_rho4,5,2,5,129.6189526279475,18,328.0891353488273,51614.45187275456
Amsterdam,46351114,2,ipsp_rho4,15,2,15,129.6189526279475,18,712.7350612326678,102440057566.92548
Amsterdam,46351114,2,ipsp_rho125,3,1,3,129.6189526279475,18,156.69745399257616,258.779613481168
Amsterdam,46351114,2,ipsp_rho125,5,2,5,129.6189526279475,18,222.3053137951298,492.2337710643249
Amsterdam,46351114,2,ipsp_rho125,15,2,15,129.6189526279475,18,419.88523413189876,8677.010387781307
Amsterdam,46351114,2,yen,3,1,3,129.6189526279475,18,134.7848460762302,134.7848460762302
Amsterdam,46351114,2,eps10,3,1,3,129.6189526279475,18,134.7848460762302,142.58084789074226
Amsterdam,46351114,2,eps25,3,1,3,129.6189526279475,18,134.7848460762302,162.02369078493436
Amsterdam,46351114,2,yen,5,1,5,129.6189526279475,18,135.31582599527047,135.31582599527047
Amsterdam,46351114,2,eps10,5,1,5,129.6189526279475,18,135.31582599527047,142.58084789074226
Amsterdam,46351114,2,eps25,5,1,5,129.6189526279475,18,135.31582599527047,162.02369078493436
Amsterdam,46351114,2,yen,15,1,15,129.6189526279475,18,151.85146263378107,151.85146263378107
Amsterdam,46351114,2,eps10,15,1,10,129.6189526279475,18,141.0388651410983,142.58084789074226
Amsterdam,46351114,2,eps25,15,1,15,129.6189526279475,18,151.85146263378107,162.02369078493436
Amsterdam,46413366,5,ipsp_rho4,3,3,3,288.32268564261057,30,414.22101137174803,5573.162970281769
Amsterdam,46413366,5,ipsp_rho4,5,5,5,288.32268564261057,30,550.2219599968105,104530.6075245083
Amsterdam,46413366,5,ipsp_rho4,15,5,15,288.32268564261057,30,1037.1026105725723,190138923115.61884
Amsterdam,46413366,5,ipsp_rho125,3,2,3,288.32268564261057,30,409.9033101715078,544.254196316579
Amsterdam,46413366,5,ipsp_rho125,5,3,5,288.32268564261057,30,414.22101137174803,996.8815567446547
Amsterdam,46413366,5,ipsp_rho125,15,4,15,288.32268564261057,30,559.9305700303723,16105.393243438144
Amsterdam,46413366,5,yen,3,1,3,288.32268564261057,30,289.1488387558807,289.1488387558807
Amsterdam,46413366,5,eps10,3,1,3,288.32268564261057,30,289.1488387558807,317.15495420687165
Amsterdam,46413366,5,eps25,3,1,3,288.32268564261057,30,289.1488387558807,360.4033570532632
Amsterdam,46413366,5,yen,5,1,5,288.32268564261057,30,289.31876400436613,289.31876400436613
Amsterdam,46413366,5,eps10,5,1,5,288.32268564261057,30,289.31876400436613,317.15495420687165
Amsterdam,46413366,5,eps25,5,1,5,288.32268564261057,30,289.31876400436613,360.4033570532632
